FROM_GEO,TO_GEO,FROM_LOC,TO_LOC,Regions,Di,Smin,Smean,Smax,xi,tip,ci
f2m6,f2md,"(46.805833, -71.214167000000003)","(46.86114647610566, -71.014456415105514)","(1.0, 0.0)",10.187112549369134,6.4562722000000017,7.6599234727272734,8.9513256000000005,0.153370297634,3.00674718152,167.88418755
f2md,f2me,"(46.86114647610566, -71.014456415105514)","(46.936293887357557, -70.865858374227869)","(0.0, 0.0)",8.730287499778973,8.7712702,8.8371046419580424,8.8998811999999994,0.00239731165814,0.0,0.0
f2me,f2ms,"(46.936293887357557, -70.865858374227869)","(47.113650923717586, -70.681865439001939)","(0.0, 0.0)",15.013024251844385,5.7360505999999996,7.9221881927601796,9.6201028000000015,0.0432709362126,0.0,0.0
f2ms,f2mu,"(47.113650923717586, -70.681865439001939)","(47.135247238727416, -70.660228930552336)","(0.0, 0.0)",1.8063815251232929,3.7297190000000002,7.3531748124183025,10.751879600000001,0.00371532485802,0.0,0.0
f2mu,f2mv,"(47.135247238727416, -70.660228930552336)","(47.287142687683769, -70.529470983927339)","(0.0, 0.0)",12.161070080095614,4.3213296000000003,8.3433579263888866,11.8064898,0.3447677299,0.0,0.0
f2mv,f2qj,"(47.287142687683769, -70.529470983927339)","(47.428057417800964, -70.311640298186347)","(0.0, 0.0)",14.101673399163072,4.9129401999999995,7.99906832083333,10.3403244,0.113951073747,0.0,0.0
f2qj,f2qn,"(47.428057417800964, -70.311640298186347)","(47.462765347731818, -70.20874134967751)","(0.0, 0.0)",5.3745472985033045,5.9932725999999992,6.8341157287878804,8.076770800000002,0.0544042373879,0.0,0.0
f2qn,f2qp,"(47.462765347731818, -70.20874134967751)","(47.639976287758259, -69.995459820918157)","(0.0, 0.0)",15.779101441340444,6.3533834000000002,7.209231145454547,8.9256034,0.0599360459395,0.0,0.0
f2qp,f2qr,"(47.639976287758259, -69.995459820918157)","(47.670197446671523, -69.959672765658013)","(0.0, 0.0)",2.671736106105461,8.5912148000000013,9.2621355166666675,10.391768799999999,0.0195523434836,0.0,0.0
f2qr,f2w2,"(47.670197446671523, -69.959672765658013)","(47.81659362656292, -69.806236291073205)","(0.0, 0.0)",12.37826328809433,7.1507716000000006,8.9449692201268629,11.0348238,0.141985895435,0.0,0.0
f2w2,f2w3,"(47.81659362656292, -69.806236291073205)","(47.99224713604049, -69.65873985674574)","(0.0, 0.0)",13.931122010162726,4.1669964000000004,7.7083642479046395,11.2148792,0.179916499271,0.0,0.0
f2w3,f2w9,"(47.99224713604049, -69.65873985674574)","(48.04909191752791, -69.605664466120061)","(0.0, 0.0)",4.631891791438537,4.9901068000000004,7.0293798898989897,10.0831024,0.119151335901,0.0,0.0
f2w9,f2wd,"(48.04909191752791, -69.605664466120061)","(48.169887078188673, -69.492879261040486)","(0.0, 0.0)",9.838009420402726,4.6299960000000002,5.3278359454545461,7.5623267999999992,0.12790833165,0.0,0.0
f2wd,f2wf,"(48.169887078188673, -69.492879261040486)","(48.320638076603721, -69.254378890260469)","(0.0, 0.0)",15.134284731414358,1.9806093999999996,3.4098557079489726,8.2311040000000002,1.63142967183,0.0,0.0
f2wf,f2wg,"(48.320638076603721, -69.254378890260469)","(48.34640393362541, -69.1116366372041)","(0.0, 0.0)",6.795853467061626,3.7554412000000008,4.920660693134157,9.4143252000000004,0.341395077977,0.0,0.0
f2wg,f2x5,"(48.34640393362541, -69.1116366372041)","(48.428125205891206, -68.905200034241744)","(0.0, 0.0)",11.030545476400452,5.5817174000000005,7.3761810907407446,9.3628807999999992,0.310113714698,0.0,0.0
f2x5,f2xh,"(48.428125205891206, -68.905200034241744)","(48.518018605383581, -68.678119770983173)","(0.0, 0.0)",12.118497628927997,4.6299959999999993,7.6418338347591099,10.854768399999999,0.380331804562,0.0,0.0
f2xh,f2xk,"(48.518018605383581, -68.678119770983173)","(48.567051368743066, -68.554257809205765)","(0.0, 0.0)",6.6034192444848445,5.9418281999999998,8.4167321217961408,11.292045799999999,0.0193695914529,0.0,0.0
f2xk,f2xm,"(48.567051368743066, -68.554257809205765)","(48.697805404368339, -68.223959244466002)","(0.0, 0.0)",17.586049319179853,5.8903838000000004,7.0812263925925913,9.0284921999999987,0.535414683198,0.0,0.0
f2xm,f2xt,"(48.697805404368339, -68.223959244466002)","(48.714149658821498, -68.182671923873528)","(0.0, 0.0)",2.1958999291467243,6.8421051999999998,7.0531785470588222,7.7166599999999992,0.0234970457964,0.0,0.0
f2xt,f2xv,"(48.714149658821498, -68.182671923873528)","(48.853075821673357, -67.831729698837549)","(0.0, 0.0)",18.64393816968584,4.0898297999999995,4.2749070152164368,7.4079935999999993,0.864071513853,0.0,0.0
f2xv,f2xy,"(48.853075821673357, -67.831729698837549)","(48.869420076126517, -67.790442378245075)","(0.0, 0.0)",2.190913750806051,0.0,3.4538798461154716,8.8998811999999994,0.214687339696,0.0,0.0
f2xy,f88n,"(48.869420076126517, -67.790442378245075)","(48.99200198452521, -67.480787473801556)","(0.0, 0.0)",16.415085106351576,3.5496635999999997,8.0864881597760387,10.751879599999999,0.39025536349,0.0,0.0
f88n,f88p,"(48.99200198452521, -67.480787473801556)","(49.049206875111274, -67.336281851727918)","(0.0, 0.0)",7.650257396337513,5.9675503999999995,9.2051385305361269,11.1377126,0.103757525378,0.0,0.0
f88p,f88r,"(49.049206875111274, -67.336281851727918)","(49.128378949902704, -67.123114515966606)","(0.0, 0.0)",11.091815198618885,4.4499406000000006,7.9410234610289567,11.523545599999999,0.214917970782,0.0,0.0
f88r,f88x,"(49.128378949902704, -67.123114515966606)","(49.195854106929261, -66.794621798824252)","(0.0, 0.0)",15.561185669892101,5.4531064000000011,7.161386405644345,9.1828253999999987,0.0435084993956,0.0,0.0
f88x,f8b8,"(49.195854106929261, -66.794621798824252)","(49.223968755690329, -66.657749833348262)","(0.0, 0.0)",6.478135143799289,4.5528294000000011,6.9560267787819026,9.1571032000000017,0.015111955879,0.0,0.0
f8b8,f8bb,"(49.223968755690329, -66.657749833348262)","(49.268952193708031, -66.438754688586684)","(0.0, 0.0)",10.358038582025973,1.9548871999999999,6.7215667766095128,10.854768400000001,0.403181461771,0.0,0.0
f8bb,f8c0,"(49.268952193708031, -66.438754688586684)","(49.342050280486802, -66.08288757834913)","(0.0, 0.0)",16.81347997847575,3.9612187999999997,7.1409253505359445,10.777601799999999,0.776714323222,0.0,0.0
f8c0,f8c1,"(49.342050280486802, -66.08288757834913)","(49.398279578008932, -65.809143647397164)","(0.0, 0.0)",12.918004633694638,5.6074396000000002,7.5581354593750003,9.3114364000000016,0.260597654764,0.0,0.0
f8c1,f8c3,"(49.398279578008932, -65.809143647397164)","(49.396956246288674, -65.71493471231318)","(0.0, 0.0)",4.238410689438427,4.3213296000000003,6.8653776666666664,7.8967153999999997,0.00374793707844,0.0,0.0
f8c3,f8c2,"(49.396956246288674, -65.71493471231318)","(49.394309582848152, -65.526516842145199)","(0.0, 0.0)",8.477162171210164,5.6588839999999996,6.8940008666666674,7.8709932,0.032598408186,0.0,0.0
f8c2,f8c8,"(49.394309582848152, -65.526516842145199)","(49.392104029981049, -65.369501950338559)","(0.0, 0.0)",7.06465114657897,8.3082706000000002,8.3773144000000013,8.4626038000000001,0.00356692675373,0.0,0.0
f8c8,f8cb,"(49.392104029981049, -65.369501950338559)","(49.387251813673423, -65.024069188363939)","(0.0, 0.0)",15.543337778202844,8.9513256000000005,9.000712223999999,9.0284921999999987,0.00324075920187,0.0,0.0
f8cb,f8f0,"(49.387251813673423, -65.024069188363939)","(49.382399597365797, -64.678636426389332)","(0.0, 0.0)",15.544872228094423,5.8646616000000016,7.6655356413641513,9.8001582000000003,0.0354377393894,0.0,0.0
f8f0,f8f2,"(49.382399597365797, -64.678636426389332)","(49.377547381058172, -64.333203664414711)","(0.0, 0.0)",15.54640656662235,4.4756627999999994,6.2837390573641532,8.4883260000000007,0.630042422994,0.0,0.0
